date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:59:22	134829/134829	---M--	200	added ('OK')	image/jpeg	etag:%2220ead-5d0303e2-9bc7e5ee71c9502f;;;%22	http://phongon.ca/images/about-2.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/about-2.jpg	(from http://phongon.ca/)
02:59:34	169535/169535	---M--	200	added ('OK')	image/jpeg	etag:%222963f-5d0303e3-a76dd8dc66eec77d;;;%22	http://phongon.ca/images/cover_bg_1.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/cover_bg_1.jpg	(from http://phongon.ca/)
02:59:50	93992/93992	---M--	200	added ('OK')	image/jpeg	etag:%2216f28-5d0303e3-b8d036c1bdf1890f;;;%22	http://phongon.ca/images/dessert-1.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/dessert-1.jpg	(from http://phongon.ca/)
03:00:00	56294/56294	---M--	200	added ('OK')	image/jpeg	etag:%22dbe6-5d0303e3-90aac582216c5c4c;;;%22	http://phongon.ca/images/dessert-2.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/dessert-2.jpg	(from http://phongon.ca/)
03:00:03	758500/758500	---M--	200	added ('OK')	image/jpeg	etag:%22b92e4-61e8ac64-afdc463992be33eb;;;%22	http://phongon.ca/images/pop/open.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/pop/open.jpg	(from http://phongon.ca/)
03:00:03	256930/256930	---M--	200	added ('OK')	image/jpeg	etag:%223eba2-5d0303e3-3863ec50f2b28736;;;%22	http://phongon.ca/images/cover_bg_2.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/cover_bg_2.jpg	(from http://phongon.ca/)
03:00:05	84380/84380	---M-Z	200	added ('OK')	application/x-javascript	etag:%221499c-5d0303e3-7a7de4d9343bc56f;gz%22	http://phongon.ca/js/jquery.min.js	C:/My%20Web%20Sites/code/phongon.ca/js/jquery.min.js	(from http://phongon.ca/)
03:00:05	8111/8111	---M-Z	200	added ('OK')	application/x-javascript	etag:%221faf-5d0303e3-a0d7a842a5e50c95;gz%22	http://phongon.ca/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/code/phongon.ca/js/jquery.easing.1.3.js	(from http://phongon.ca/)
03:00:06	36816/36816	---M-Z	200	added ('OK')	application/x-javascript	etag:%228fd0-5d0303e3-753ad40dc7190a2;gz%22	http://phongon.ca/js/bootstrap.min.js	C:/My%20Web%20Sites/code/phongon.ca/js/bootstrap.min.js	(from http://phongon.ca/)
03:00:06	8835/8835	---M-Z	200	added ('OK')	application/x-javascript	etag:%222283-5d0303e3-5dae003354091afe;gz%22	http://phongon.ca/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/code/phongon.ca/js/jquery.waypoints.min.js	(from http://phongon.ca/)
03:00:06	12597/12597	---M-Z	200	added ('OK')	application/x-javascript	etag:%223135-5d0303e3-22f51d78aeb199fb;gz%22	http://phongon.ca/js/jquery.stellar.min.js	C:/My%20Web%20Sites/code/phongon.ca/js/jquery.stellar.min.js	(from http://phongon.ca/)
03:00:07	40401/40401	---M-Z	200	added ('OK')	application/x-javascript	etag:%229dd1-5d0303e3-72e3fbf56c220118;gz%22	http://phongon.ca/js/owl.carousel.min.js	C:/My%20Web%20Sites/code/phongon.ca/js/owl.carousel.min.js	(from http://phongon.ca/)
03:00:07	20932/20932	---M-Z	200	added ('OK')	application/x-javascript	etag:%2251c4-5d0303e3-e8e0f27a3a474de;gz%22	http://phongon.ca/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/code/phongon.ca/js/jquery.magnific-popup.min.js	(from http://phongon.ca/)
